id,price
725,156137.55199979903
15856,202785.3472240856
5480,226502.69192597293
15664,329187.8028293907
14275,136242.0906340289
7633,195476.7160837111
13329,175131.68336535763
5502,206452.05055103236
4220,303876.88574975403
11538,211754.93825767748
15975,274164.0636269585
3310,219242.75511175906
9286,149709.8595255781
11260,185391.5069025394
5214,105226.28392644922
11307,186057.1901704878
13543,390469.1471261817
615,176355.49498224686
3495,217966.1605617975
2321,235021.33556624516
12046,181403.22088606787
16688,157015.39186917586
12694,218053.02182487436
783,160516.98117834382
8968,175758.40280850726
13454,184249.397978101
12190,254966.43913745848
11160,107657.78634764224
10291,193008.97552329546
891,263510.7051577474
2982,178240.55975380033
3818,251785.47975353786
2449,177093.5265722868
8317,173620.98057019897
4922,182640.08617374251
1257,247969.3075632194
9348,206781.60120256385
4176,195106.38847573707
10704,174829.7108817987
6624,112960.3280535459
5428,146878.84245954885
12749,182635.57443499885
8994,198283.68887084597
11513,145200.47306370712
3047,194911.51363298224
9519,206488.79998272032
12309,194027.59786273836
14081,278996.7995175423
8334,254296.99344673887
6343,168918.5437368089
14788,128843.43391012237
15748,352941.8181620366
153,243271.5859206451
14149,184292.73943439152
269,205739.6718377064
5452,136296.15918997437
721,160600.19148356613
5079,386040.12776479585
2831,120570.21496388872
10614,107374.17018822336
10131,258685.71743617207
9996,312141.0975637812
3061,193039.90923539724
11733,375587.16274135164
3726,236121.2212878138
10929,204911.21685076464
9011,393471.64195575786
16182,253973.50719388295
4976,177456.738024031
9897,242469.00083590904
1872,160026.83478512973
9205,375061.6094098259
5403,392883.1755797871
14074,200419.72909730472
6268,153345.34647469883
14232,170430.7913261322
8532,234654.88077960807
7034,233648.37406932018
6553,407483.26437060325
3133,178353.83228332765
8596,197200.04959786724
12389,235005.7791322161
14462,180875.27154913952
8860,362774.9036473959
8377,282733.7909167883
6367,300343.0394805267
6917,237180.15467071772
4216,187065.4169530089
5806,169883.88628474806
5438,183904.79986935252
6632,199874.38118194806
2650,154720.8932973974
5396,211219.86215959192
4044,150838.6505292417
1345,206727.12284705535
856,168712.3130431787
12791,244922.0869551816
12499,215015.14703726
12249,128551.1546360885
14641,150432.25391352637
1919,170327.06929252384
7848,193176.3404603944
10749,177561.1634595324
15554,184029.3895677023
15834,185596.58853758615
1355,181472.2705084836
15451,175361.39207798522
12401,206898.70892992296
10290,181452.4255973866
9462,116848.3487249898
3103,232213.34340099432
3420,129837.61004967173
12262,232631.192081171
5032,139276.42833420658
8949,279968.51170245546
15567,226954.5921146896
16389,163167.5375144215
7809,90116.02996838801
8990,163479.13439058108
16089,264709.6930229255
12743,104854.05659029473
5132,133840.153949095
1619,244397.5551240657
2428,99864.29099534349
16741,174798.78428108702
13193,219954.6274767792
12588,501346.14502765366
5067,181423.82039304177
14685,128079.25813333954
2292,175623.17893410908
5746,124679.06516545266
12578,166641.42374434325
14834,150716.48464344017
2147,180171.90762266313
8222,129297.8540282865
10419,254218.77720929642
11492,208058.14011129815
3006,216571.3460854736
8761,200840.58032430496
15371,322557.1245286524
16367,161886.64079442917
